id,question,expectedCategory,expectedTone,expectedBehavior,actualCategory,actualTone,toneCorrect,categoryCorrect,response,rating,feedback,runAt,status
qa-1771966500519,How do I apply to Regional Center for my 2-year-old?,regional-center,collaborative,"Should explain intake process, 120-day timeline, Early Start. No legal jargon.",regional-center,collaborative,YES,YES,"{""success"":true,""category"":""regional-center"",""urgency"":""medium"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""It's great that you're taking this step early — getting connected to Regional Center now can open up a lot of helpful resources for your family."",""answer"":""Applying is straightforward: you can call your local Regional Center directly (for you, that's Regional Center of the East Bay at 510-618-6100) or fill out their online referral form. No doctor referral needed — you can self-refer. They'll schedule an intake appointment within 15 working days, where they'll learn about your child's development and start an assessment process."",""action_steps"":[{""step"":1,""action"":""Contact Regional Center of the East Bay to start the intake process"",""who"":""Call 510-618-6100 or visit their website to submit a referral form"",""timeline"":""Today or this week — the sooner you start, the sooner the process begins"",""script"":""Hi, I'd like to start the intake process for my 2-year-old. I have some concerns about their development and would like to see if they qualify for Regional Center services. Can you help me get started?""},{""step"":2,""action"":""Gather developmental information before your intake appointment"",""who"":""Write down specific concerns: speech delays, social interactions, motor skills, behaviors, etc."",""timeline"":""Before your intake meeting"",""script"":""Be specific and honest about what you're seeing. Examples help: 'He has about 5 words at age 2,' or 'She doesn't respond when we call her name.'""},{""step"":3,""action"":""Attend the intake appointment and participate in the assessment"",""who"":""RC will schedule this within 15 working days of your referral"",""timeline"":""They must complete the full eligibility determination within 120 days"",""script"":""Ask questions during intake: 'What happens next?' 'What's the timeline?' 'What services might be available if my child qualifies?'""}],""rights_reminder"":null,""watch_out"":""Keep notes of every conversation with Regional Center — dates, who you spoke with, what was said. If they miss any deadline (intake within 15 days, eligibility within 120 days), document it. This creates a paper trail if you need it later."",""offer_to_draft"":null,""draft_type"":null,""sources"":[]}",4,Should add Regional Center website and use user's zip to look up more specifically,2026-02-24T20:56:57.551Z,reviewed
qa-1771966500752,What paperwork do I need for RC reimbursement of pre-authorized respite?,regional-center,collaborative,"Focus on forms, receipts, submission process. No Lanterman Act citations.",regional-center,collaborative,YES,YES,"{""success"":true,""category"":""regional-center"",""urgency"":""low"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""Getting reimbursed for respite shouldn't be complicated — you've already done the hard part by arranging the care."",""answer"":""For pre-authorized respite, you'll need to submit receipts or invoices from your respite provider, along with dates and hours of service. Most Regional Centers have a standard reimbursement form (sometimes called a 'claim form' or 'payment request'). Since this was pre-authorized, it's mainly a paperwork process — just showing that the service happened as planned."",""action_steps"":[{""step"":1,""action"":""Contact your Service Coordinator to get the correct reimbursement form"",""who"":""Your RC Service Coordinator"",""timeline"":""This week"",""script"":""Hi [name], I used pre-authorized respite services and need to submit for reimbursement. Can you send me the claim form and let me know what documentation you need from my provider?""},{""step"":2,""action"":""Gather documentation: receipts/invoices, dates of service, hours provided, provider's name and rate"",""who"":""Your respite provider"",""timeline"":""Before submitting the form"",""script"":""I need to submit reimbursement to Regional Center. Can you provide an itemized receipt showing dates, hours, and your rate for the respite care you provided?""},{""step"":3,""action"":""Submit completed form with all documentation to your SC"",""who"":""Service Coordinator (email or portal if available)"",""timeline"":""Within 30-60 days of service (check your RC's policy)"",""script"":""Here's my completed reimbursement claim for pre-authorized respite services [dates]. I've attached the provider's receipts and documentation. Please let me know if you need anything else.""},{""step"":4,""action"":""Follow up if you haven't heard back within 30 days"",""who"":""Service Coordinator"",""timeline"":""30 days after submission"",""script"":""I submitted a reimbursement claim on [date] and wanted to check on the status. Do you have an estimated timeline for processing?""}],""rights_reminder"":null,""watch_out"":""Each Regional Center has different submission deadlines — some require claims within 30 days of service, others within 60-90 days. Ask your SC about the deadline when you get the form so you don't miss it."",""offer_to_draft"":""A follow-up email to your Service Coordinator if your reimbursement claim is delayed or you need to escalate a processing issue"",""draft_type"":""rc_request"",""sources"":[]}",5,"Good, but let's be super specific: tell the user they should email their coordinator",2026-02-24T20:57:19.636Z,reviewed
qa-1771966501229,My service coordinator hasn't returned my calls in 3 weeks about adding ABA to the IPP,regional-center,assertive,"Firm advice on escalation, mention right to IPP meeting within 30 days. Not heavy legal.",regional-center,assertive,YES,YES,"{""success"":true,""category"":""regional-center"",""urgency"":""high"",""emotional_state"":""stressed"",""needs_action"":true,""tone_level"":""assertive"",""empathy"":""Three weeks of silence when you're trying to get your child what they need is not okay — you deserve a timely response."",""answer"":""Your service coordinator is required to respond to you in a reasonable timeframe, and three weeks is not reasonable. It's time to go over their head. You can escalate to their supervisor and document everything in writing. If you still don't get a response within a few business days, you have the right to request an emergency IPP meeting, which RC must hold within 7 days."",""action_steps"":[{""step"":1,""action"":""Send a written follow-up email to your SC and CC their supervisor"",""who"":""Your service coordinator + their supervisor (call RC main line to get supervisor's name and email)"",""timeline"":""Today"",""script"":""Subject: URGENT: Follow-up on ABA Service Request for [Child's Name] - 3 Weeks Without Response\n\nHi [SC Name],\n\nI have called and left messages on [dates] regarding adding ABA therapy to Teddy's IPP. It has now been three weeks without any response. I need to move forward with this request immediately.\n\nI am copying your supervisor on this email. Please confirm receipt of this message and schedule an IPP meeting within the next 7 days to discuss adding ABA services. If I do not hear back within 48 hours, I will formally request an emergency IPP meeting per Welfare & Institutions Code §4646.\n\nThank you,\n[Your Name]\n[Phone]\n[Date]""},{""step"":2,""action"":""If no response in 48 hours, formally request an emergency IPP meeting in writing"",""who"":""Send to RC Director (find name on RCEB website)"",""timeline"":""48 hours after Step 1 if no response"",""script"":""Subject: Formal Request for Emergency IPP Meeting - [Child's Name]\n\nDear [Director Name],\n\nI am formally requesting an emergency Individual Program Plan (IPP) meeting for my child, [Child's Name], client # [number]. Under W&I Code §4646, this meeting must be held within 7 calendar days.\n\nMy service coordinator, [SC name], has not responded to my calls or messages for three weeks regarding adding ABA therapy to the IPP. This delay is affecting my child's access to necessary services.\n\nPlease confirm the meeting date and time within 24 hours.\n\nSincerely,\n[Your Name]\n[Contact info]""},{""step"":3,""action"":""Document everything and consider filing a 4731 complaint"",""who"":""Keep a log of all contact attempts; if pattern continues, file complaint with RC Client Rights Office"",""timeline"":""Ongoing documentation; file 4731 if lack of response continues after emergency IPP"",""script"":""If the lack of responsiveness is a pattern: 'I am filing a complaint under W&I Code §4731 because my service coordinator has repeatedly failed to respond to my requests for services, which violates my right to participate in planning my child's services.'""}],""rights_reminder"":""Under W&I Code §4646, you have the right to request an IPP meeting at any time, and Regional Center must hold it within 30 days (or 7 days for an emergency). Your service coordinator's lack of response does not change your right to access services."",""watch_out"":""Do everything in writing from now on. Emails create a paper trail. If they verbally promise to call you back, send a follow-up email: 'Per our conversation today, you said you'd get back to me by [date] about ABA services.' This protects you if you need to file a complaint or appeal later."",""offer_to_draft"":""A formal escalation email to your SC and their supervisor, or an emergency IPP meeting request to the RC director"",""draft_type"":""rc_request"",""sources"":[""W&I Code §4646 (IPP meeting rights and timelines)"",""W&I Code §4731 (Client rights complaint process)""]}",,,2026-02-24T20:57:51.845Z,tested
qa-1771966501718,RC denied our request for respite hours and I want to file a fair hearing,regional-center,adversarial,"Should cite §4710.5, Aid Paid Pending 10-day rule, OAH process. Full legal support.",rights,adversarial,YES,NO,"{""success"":true,""category"":""rights"",""urgency"":""high"",""emotional_state"":""stressed"",""needs_action"":true,""tone_level"":""adversarial"",""empathy"":""It's frustrating when you've clearly explained your family's need for respite and the Regional Center still says no — you have every right to challenge this decision."",""answer"":""You absolutely can and should file a fair hearing to appeal this denial. You have 60 days from the date of the written denial (called a Notice of Action) to request the hearing. If you file within 10 days, you can request Aid Paid Pending, which means Teddy keeps any existing respite services while you wait for the hearing. The hearing will be conducted by an independent Administrative Law Judge (ALJ) who will decide if the RC's denial was justified."",""action_steps"":[{""step"":1,""action"":""Request the fair hearing in writing immediately"",""who"":""Send to your RC Service Coordinator AND the RC's Fair Hearing Coordinator"",""timeline"":""Within 10 days of the denial date if you want Aid Paid Pending; within 60 days to preserve your appeal right"",""script"":""I am formally requesting a fair hearing under Welfare and Institutions Code Section 4712 to appeal the denial of respite hours for my son [Teddy's full name], dated [date on Notice of Action]. I am also requesting Aid Paid Pending under Section 4715 to maintain his current respite hours during the appeal. Please confirm receipt of this request and provide the hearing schedule.""},{""step"":2,""action"":""Gather evidence that respite is necessary to prevent institutionalization or family breakdown"",""who"":""Collect letters from doctors, therapists, school staff, or your own written statement"",""timeline"":""Start immediately — you'll submit this before the hearing"",""script"":""To [provider]: I need a letter supporting my request for respite services for my son Teddy. Please include: 1) His diagnosis and care needs, 2) How respite prevents caregiver burnout and keeps him safely at home, 3) Specific examples of why the requested hours are medically necessary. This is for a Regional Center fair hearing appeal.""},{""step"":3,""action"":""Prepare your fair hearing testimony"",""who"":""You will testify about your family's needs and why the denial violates the Lanterman Act"",""timeline"":""Hearing must be scheduled within 50 days of your request"",""script"":""At the hearing, you'll explain: 'Without respite, I cannot safely care for Teddy and maintain our family's stability. The RC denied this service without conducting a proper needs assessment as required under W&I Code Section 4646. This denial violates my son's entitlement to services necessary to prevent institutionalization under Section 4501.'""},{""step"":4,""action"":""Consider getting free legal representation"",""who"":""Contact Disability Rights California or a local protection and advocacy organization"",""timeline"":""As soon as possible after filing the hearing request"",""script"":""I have a Regional Center fair hearing coming up regarding denied respite services for my son with autism and ADHD. Can you provide representation or advice? The hearing is scheduled for [date if known].""}],""rights_reminder"":""Under Welfare and Institutions Code Section 4512(b), you are entitled to services and supports that are necessary to prevent institutionalization and allow your child to live in the most integrated setting. The RC cannot deny services based solely on budget constraints (W&I §4659). You have the right to a fair hearing under Section 4712, and the ALJ's decision is binding on the Regional Center."",""watch_out"":""The RC may claim respite is only available if you're in 'crisis' — that is NOT the law. Respite is preventive, not just emergency intervention. Also, if they offer to 'review the decision' or 'meet again,' do NOT withdraw your hearing request unless you get the approval in writing with specific hours. Many families are stalled this way."",""offer_to_draft"":""A formal fair hearing request letter citing the specific Lanterman Act violations and requesting Aid Paid Pending"",""draft_type"":""appeal_letter"",""sources"":[""W&I Code §4712 (right to fair hearing)"",""W&I Code §4715 (Aid Paid Pending)"",""W&I Code §4512(b) (entitlement to services)"",""W&I Code §4646 (needs assessment requirement)"",""W&I Code §4659 (cannot deny based on budget)"",""W&I Code §4501 (prevent institutionalization)""]}",5,Should ask user if they want help drafting an email,2026-02-24T20:58:25.213Z,reviewed
qa-1771966501940,How should I prepare for my first IEP meeting?,iep,collaborative,"Practical prep advice, what to bring, questions to ask. No legal threats.",iep,collaborative,YES,YES,"{""success"":true,""category"":""iep"",""urgency"":""medium"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""First IEP meetings can feel overwhelming, but you're already ahead of the game by preparing in advance."",""answer"":""Think of this as a collaborative planning session where you and the school team figure out how to best support Teddy. Your main job is to share what you know about Teddy — what helps him learn, what's challenging, what you're seeing at home. Come with specific examples and be ready to ask questions about anything you don't understand. You don't need to make any decisions at the meeting — you can always take the IEP home to review before signing."",""action_steps"":[{""step"":1,""action"":""Write down your observations and concerns about Teddy"",""who"":""You prepare this before the meeting"",""timeline"":""A few days before the IEP"",""script"":""Make notes about: What does Teddy struggle with? What does he do well? What helps him succeed? What specific support do you want to see? (e.g., 'He needs extra time to process instructions' or 'Small group work helps him focus')""},{""step"":2,""action"":""Request evaluation reports and draft IEP in advance"",""who"":""Email the IEP case manager or Special Ed coordinator"",""timeline"":""At least one week before the meeting"",""script"":""Hi [Name], I'm looking forward to Teddy's IEP meeting on [date]. Could you please send me any evaluation reports and the draft IEP ahead of time so I can review them? I'd also like to know who will be attending. Thank you!""},{""step"":3,""action"":""Bring someone with you for support"",""who"":""A friend, Regional Center service coordinator, or advocate"",""timeline"":""Arrange this before the meeting"",""script"":""You're allowed to bring anyone you want. A second set of ears is incredibly helpful — they can take notes while you focus on the conversation.""},{""step"":4,""action"":""Ask questions whenever something is unclear"",""who"":""During the IEP meeting"",""timeline"":""Throughout the meeting"",""script"":""Can you explain what that means? / How will this work in the classroom? / What does this look like day-to-day? / Can you give me an example?""},{""step"":5,""action"":""Take the IEP home to review"",""who"":""At the end of the meeting"",""timeline"":""Before signing anything"",""script"":""Thank you everyone. I'd like to take this home and review it carefully before signing. When should I get it back to you?""}],""rights_reminder"":""You are an equal member of the IEP team — your input about Teddy matters just as much as anyone else's at the table."",""watch_out"":""Don't feel pressured to sign at the meeting. Taking the IEP home to review is completely normal and gives you time to think clearly without the pressure of everyone waiting."",""offer_to_draft"":""A preparation checklist and questions to ask at your IEP meeting tailored to Teddy's needs"",""draft_type"":""iep_prep"",""sources"":[]}",5,Ask the user if they want further guidance or resources,2026-02-24T20:58:49.409Z,reviewed
qa-1771966502291,Can I record the IEP meeting?,iep,collaborative,"Yes with 24hr notice, cite Ed Code §56341.1 if helpful, but keep it friendly.",iep,collaborative,YES,YES,"{""success"":true,""category"":""iep"",""urgency"":""medium"",""emotional_state"":""calm"",""needs_action"":true,""tone_level"":""collaborative"",""empathy"":""It's smart to be thinking about this ahead of time — recording can help you focus on the conversation instead of frantically taking notes."",""answer"":""Yes, you can record your IEP meeting in California. You just need to notify the school district at least 24 hours in advance. Send a quick email to the special education case manager and IEP coordinator letting them know you plan to record — that's all the law requires. The district might also choose to record, and if they do, they'll let you know and provide you a copy."",""action_steps"":[{""step"":1,""action"":""Send written notice that you'll be recording"",""who"":""Email the special education case manager and IEP coordinator"",""timeline"":""At least 24 hours before the meeting"",""script"":""Hi [Name], I'm writing to let you know I'll be audio recording Teddy's IEP meeting on [date]. I want to make sure I can focus on the discussion without worrying about missing important details. Please let me know if you have any questions. Thank you!""},{""step"":2,""action"":""Bring a recording device"",""who"":""Use your phone, tablet, or a voice recorder"",""timeline"":""Day of the meeting"",""script"":""At the start of the meeting, you can say: 'Just a reminder, I'll be recording today as I mentioned in my email. I find it really helpful to review the details later.'""},{""step"":3,""action"":""Keep the recording for your records"",""who"":""Store it securely — it's part of the educational record"",""timeline"":""After the meeting"",""script"":""If the district also recorded, you can say: 'Could you send me a copy of the district's recording when it's ready?'""}],""rights_reminder"":null,""watch_out"":""The 24-hour notice requirement is firm — if you forget to notify them, they can refuse to proceed with the meeting until proper notice is given, so don't skip this step."",""offer_to_draft"":""A professional notification email to the school district about recording the IEP meeting"",""draft_type"":""iep_email"",""sources"":[""CA Education Code §56341.1(h)"",""SB 483""]}",,,2026-02-24T20:59:08.752Z,tested
qa-1771966502551,The school is 2 months late on completing my child's evaluation,iep,assertive,"Mention 60-day timeline, suggest written follow-up, firm but not threatening.",iep,assertive,YES,YES,"{""success"":true,""category"":""iep"",""urgency"":""high"",""emotional_state"":""stressed"",""needs_action"":true,""tone_level"":""assertive"",""empathy"":""That's frustrating and stressful — 2 months past the 60-day timeline means they're violating your child's legal rights."",""answer"":""The school is in clear violation of the 60-day evaluation timeline under CA Ed Code §56344. You need to take immediate action to get this completed AND potentially file a compliance complaint to hold them accountable. Don't wait for them to 'get around to it' — you have the right to demand completion and compensation for the delay."",""action_steps"":[{""step"":1,""action"":""Send a formal demand email to the Special Education Director"",""who"":""Special Education Director (cc Principal and Superintendent)"",""timeline"":""Today"",""script"":""Subject: URGENT — Overdue Evaluation for [Child's Name] — 60-Day Timeline Violation\n\nDear [Director Name],\n\nI signed the Assessment Plan for my child, [Child's Name], on [date]. Under CA Ed Code §56344, the evaluation was due by [date — 60 days from signature]. It is now [current date], more than 60 days past that deadline.\n\nI am formally requesting:\n1. Immediate completion of all assessments within 10 calendar days\n2. An IEP meeting scheduled within 5 days of assessment completion\n3. Prior Written Notice explaining the reason for this delay\n4. Compensatory services for any educational harm caused by this delay\n\nPlease confirm receipt of this email and provide a completion date by [date 3 business days from now]. If the evaluation is not completed promptly, I will file a compliance complaint with the California Department of Education.\n\nSincerely,\n[Your Name]""},{""step"":2,""action"":""File a CDE compliance complaint"",""who"":""California Department of Education, Special Education Division"",""timeline"":""If you don't get a concrete response within 3 business days"",""script"":""Call (916) 319-0800 and say: 'I need to file a compliance complaint. The school district has violated the 60-day evaluation timeline under Ed Code §56344. They are now 2 months overdue.' You can also file online or by mail. CDE will investigate and can order the district to complete the evaluation and provide compensatory services.""},{""step"":3,""action"":""Document everything"",""who"":""Keep your own records"",""timeline"":""Ongoing"",""script"":""Save all emails, the signed Assessment Plan with date, and notes of any phone conversations. Take screenshots of emails with read receipts. This documentation will support your compliance complaint and any future dispute.""}],""rights_reminder"":""Under CA Ed Code §56344, the school has exactly 60 CALENDAR days from the date you signed the Assessment Plan to complete the evaluation. This is not flexible. Missing this timeline is a procedural violation, and you have the right to file a compliance complaint and request compensatory services for educational harm."",""watch_out"":""Don't accept vague promises like 'we'll get to it soon' or 'we're short-staffed.' Those are not legal excuses. The law does not have exceptions for staffing issues or budget constraints. You need a specific completion date in writing, and if they can't provide one, file the complaint immediately."",""offer_to_draft"":""A formal demand letter to the Special Education Director citing the specific timeline violation and requesting immediate completion, Prior Written Notice, and compensatory services"",""draft_type"":""iep_email"",""sources"":[""CA Ed Code §56344 (60-day evaluation timeline)"",""CA Ed Code §56321 (comprehensive evaluation requirements)"",""34 CFR §300.301 (IDEA evaluation timeline requirements)""]}",4,Ask the user clarifying questions: what actions have they taken to-date? Have they called or emailed the school? Have they been communicating? Responses should change the tone of the approach.,2026-02-24T20:59:37.998Z,reviewed
qa-1771966502828,School refuses to evaluate my child and won't give me prior written notice,iep,adversarial,"Cite IDEA PWN requirements, mention CDE complaint and due process rights.",iep,adversarial,YES,YES,"{""success"":true,""category"":""iep"",""urgency"":""high"",""emotional_state"":""stressed"",""needs_action"":true,""tone_level"":""adversarial"",""empathy"":""It's incredibly frustrating when the school ignores both your evaluation request and their legal obligation to document their refusal — you have every right to be upset."",""answer"":""The school is in violation of both IDEA and California Education Code. They are legally required to respond to your written evaluation request within 15 calendar days with either an Assessment Plan OR Prior Written Notice explaining their refusal. Their silence or verbal denial does not satisfy the law. It's time to document this violation and escalate formally."",""action_steps"":[{""step"":1,""action"":""Send a formal written demand for Prior Written Notice"",""who"":""Email AND certified mail to Special Education Director and Principal"",""timeline"":""Today or tomorrow"",""script"":""Subject: FORMAL REQUEST FOR PRIOR WRITTEN NOTICE — Evaluation Request for [Teddy's Full Name]\n\nDear [Special Ed Director],\n\nOn [DATE], I submitted a written request for a comprehensive special education evaluation for my child, [Teddy's Full Name], DOB [DATE], in all areas of suspected disability including [list: autism, ADHD, academics, behavior, social-emotional, etc.].\n\nTo date, I have not received:\n1. An Assessment Plan as required by CA Ed Code §56321, OR\n2. Prior Written Notice refusing my request as required by 34 CFR §300.503\n\nUnder federal and state law, you have 15 calendar days to respond in writing. I am formally requesting Prior Written Notice that includes:\n- A description of the action proposed or refused\n- An explanation of why the district proposes or refuses the action\n- A description of each evaluation procedure, assessment, record, or report used as a basis for the decision\n- All other options considered and why they were rejected\n\nI expect your written response by [DATE — 3 business days from now]. If I do not receive either an Assessment Plan or legally compliant Prior Written Notice by that date, I will file a compliance complaint with the California Department of Education for violation of procedural safeguards.\n\nSincerely,\n[Your name]\n[Date]""},{""step"":2,""action"":""File a CDE compliance complaint"",""who"":""California Department of Education, Special Education Division"",""timeline"":""If no response within 3 business days of your demand letter"",""script"":""Call (916) 319-0800 or file online. State: 'I am filing a compliance complaint against [District Name]. I submitted a written evaluation request on [DATE]. The district has failed to provide an Assessment Plan within 15 days as required by Ed Code §56321 and has refused to provide Prior Written Notice as required by 34 CFR §300.503. I am requesting CDE investigate this procedural violation and order corrective action including immediate evaluation.'""},{""step"":3,""action"":""Document everything"",""who"":""Your records"",""timeline"":""Ongoing"",""script"":""Keep: 1) Your original evaluation request with date/time stamps, 2) All emails/communications with the school, 3) Notes from any verbal conversations (date, time, who was present, what was said), 4) Certified mail receipts. This documentation is critical for your CDE complaint and any future due process.""}],""rights_reminder"":""Under 34 CFR §300.503 and CA Ed Code §56500.4, the school MUST provide Prior Written Notice any time they propose OR refuse to initiate a change in identification, evaluation, or educational placement. Verbal refusals do not satisfy this requirement. You have the right to formal, written documentation."",""watch_out"":""Do NOT accept verbal explanations like 'we don't think he needs it' or 'wait until next year.' These are not legally valid responses. The school must put their reasoning in writing so it can be challenged. If they continue to stonewall, the CDE complaint is your fastest path to enforcement — it's free, typically resolved in 60 days, and can force the district to evaluate immediately."",""offer_to_draft"":""Formal demand letter for Prior Written Notice with legal citations and CDE complaint threat"",""draft_type"":""iep_email"",""sources"":[""34 CFR §300.503 (Prior Written Notice)"",""CA Ed Code §56321 (15-day response requirement)"",""CA Ed Code §56500.4 (PWN requirement)"",""34 CFR §300.300-311 (Evaluation procedures under IDEA)""]}",4,"Again, ask the user for clarifying questions about what communication has taken place.",2026-02-24T21:00:10.603Z,reviewed
qa-1771966503050,What is IHSS and how do I apply as a parent provider?,benefits,collaborative,"Explain IHSS, application steps, parent provider option. Practical and encouraging.",benefits,collaborative,YES,YES,"{""success"":true,""category"":""benefits"",""urgency"":""low"",""emotional_state"":""calm"",""needs_action"":false,""tone_level"":""collaborative"",""empathy"":""IHSS is one of the few programs that actually pays parents for the caregiving work you're already doing — it's a game-changer for families."",""answer"":""IHSS (In-Home Supportive Services) pays you to provide care for Teddy at home so he can live safely with you. As a parent, you CAN be a paid provider — usually earning $16-$20/hour depending on your county. Since Teddy has Medi-Cal through his Regional Center, he should qualify. The key is getting through the in-home assessment, where they determine how many hours you'll be approved for based on his actual needs."",""action_steps"":[{""step"":1,""action"":""Apply for IHSS through your county social services"",""who"":""Alameda County Social Services (for RCEB families) — call 510-577-3750 or apply online at myihss.org"",""timeline"":""Start now — processing takes 30-45 days"",""script"":""Hi, I'd like to apply for IHSS for my son Teddy. He's 9 and has autism and ADHD. He already has Medi-Cal through the Regional Center. Can you help me start the application?""},{""step"":2,""action"":""Prepare for the in-home assessment by keeping a detailed care log"",""who"":""You — track Teddy's care needs for 1-2 weeks before the assessor visit"",""timeline"":""Start immediately after applying"",""script"":""Document everything: How long does bathing take? Does he need help dressing, eating, or using the bathroom? Does he wander or need constant supervision for safety? Write it all down with times — this becomes your evidence.""},{""step"":3,""action"":""During the assessment, let the assessor see Teddy's real needs"",""who"":""The county assessor will schedule a home visit"",""timeline"":""Within 30 days of application"",""script"":""DO NOT help Teddy 'perform well' during the visit. If he normally needs help with something, let the assessor see that. Be honest and specific: 'He can't dress himself — I have to help him with every piece of clothing and it takes 20 minutes.'""},{""step"":4,""action"":""Request protective supervision hours if Teddy has safety risks"",""who"":""During the assessment, specifically ask for this"",""timeline"":""At the assessment visit"",""script"":""Teddy has autism and doesn't understand danger. He wanders, has no sense of traffic safety, and needs someone watching him constantly. I'd like to request protective supervision hours.""}],""rights_reminder"":null,""watch_out"":""The assessment determines everything — low-balling your child's needs to seem 'not too difficult' will result in fewer approved hours. Many parents get denied or under-allocated because they minimized the reality during the visit. If you disagree with the hours, you have 90 days to appeal."",""offer_to_draft"":""A preparation script for your IHSS assessment visit with specific talking points about Teddy's care needs"",""draft_type"":""general"",""sources"":[]}",,,2026-02-24T21:00:37.021Z,tested
qa-1771966503285,How does CalABLE work with SSI?,benefits,collaborative,"Explain $100K threshold, SSI interaction, tax benefits. Informational.",benefits,collaborative,YES,YES,"{""success"":true,""category"":""benefits"",""urgency"":""low"",""emotional_state"":""calm"",""needs_action"":false,""tone_level"":""collaborative"",""empathy"":""It's smart that you're thinking about this now — CalABLE is one of the best-kept secrets for families on SSI."",""answer"":""CalABLE is a special savings account that lets you save up to $100,000 without losing SSI benefits. Normally, having more than $2,000 in countable assets would disqualify your child from SSI, but CalABLE money doesn't count against that limit. You can use it for disability-related expenses like therapies, equipment, education, housing modifications — pretty much anything that improves quality of life."",""action_steps"":[{""step"":1,""action"":""Open a CalABLE account"",""who"":""Go to CalABLE.ca.gov and create an account online"",""timeline"":""As soon as SSI is approved (or even while waiting)"",""script"":""You'll need your child's Social Security number and proof of disability (SSI award letter works perfectly). The whole process takes about 15 minutes online.""},{""step"":2,""action"":""Start contributing"",""who"":""You, family members, or anyone can deposit money"",""timeline"":""Up to $18,000 per year (2024 limit)"",""script"":""Set up automatic monthly transfers if you can — even $25/month adds up. Family can contribute for birthdays or holidays instead of gifts.""},{""step"":3,""action"":""Track how you use the money"",""who"":""Keep receipts for disability-related expenses"",""timeline"":""Ongoing — saves headaches if SSA ever asks"",""script"":""Save receipts for things like therapy co-pays, adaptive equipment, educational materials, transportation to medical appointments. Most disability-related expenses qualify.""}],""rights_reminder"":null,""watch_out"":""If the CalABLE balance goes over $100,000, SSI payments pause (but Medi-Cal continues). Also, amounts over $6,000 in the account count toward the SSI resource limit, but that's still way better than the normal $2,000 cap."",""offer_to_draft"":null,""draft_type"":null,""sources"":[]}",,,2026-02-24T21:00:56.416Z,tested
